Name,Address,City.State,ZIP,Number.of.Sites,Url,House.district,Senate.district
Watson Mobile Home Community,"1362 East M-89,","Otsego, MI",49078,176,https://www.mhvillage.com/parks/427,42,18
Riverview Mobile Home Park,"2467 - 108th Ave,","Otsego, MI",49078,199,https://www.mhvillage.com/parks/15128,39,18
The Village View,"Becky Blvd,","Paw Paw, MI",49079,71,https://www.mhvillage.com/parks/59383,39,20
Three Mile Lake Trailer Park,"63381 - 41st Street,","Paw Paw, MI",49079,48,https://www.mhvillage.com/parks/15383,39,20
Prospect Manor MHC,"1012 S.  Lagrave Street,","Paw Paw, MI",49079,52,https://www.mhvillage.com/parks/15394,39,19
Country Holiday Estates,"43124 Michigan 43,","Paw Paw, MI",49079,59,https://www.mhvillage.com/parks/15396,39,20
Shady Brook Mobile Home Park,"43910 30th St,","Paw Paw, MI",49079,20,https://www.mhvillage.com/parks/15388,39,20
"Gun River MHC,  West Park","1066 Miller Road,","Plainwell, MI",49080,61,https://www.mhvillage.com/parks/15134,42,18
Dunlop's Orchard Mobile Home Park,"12703 Pine Lake Rd,","Plainwell, MI",49080,22,https://www.mhvillage.com/parks/15565,43,18
Pine Crest Mobile Villa,"1160 West Bridge Street,","Plainwell, MI",49080,82,https://www.mhvillage.com/parks/15126,42,18
Lombardini Trailer Park,"1228 M-89 West,","Plainwell, MI",49080,50,https://www.mhvillage.com/parks/15117,42,18
Andrews Trailer Court,"1202 M-89,","Plainwell, MI",49080,35,https://www.mhvillage.com/parks/15111,42,18
"Gun River MHC,  East Park","687 10th Street,","Plainwell, MI",49080,163,https://www.mhvillage.com/parks/15136,42,18
North Trail Village,"100 North Main Street,","Quincy, MI",49082,42,https://www.mhvillage.com/parks/16005,35,17
Richland MHC,"9604 East M-89,","Richland, MI",49083,45,https://www.mhvillage.com/parks/417,42,19
Glen Aire Mobile Home Park,"1153 West Glenlord Road,","Saint Joseph, MI",49085,130,https://www.mhvillage.com/parks/15359,38,20
Sugarloaf Mobile Home Park,"11443 Bonnie Dr,","Schoolcraft, MI",49087,57,https://www.mhvillage.com/parks/15488,42,19
Cole's Chippewa Circle Mobile Home Park,"356 Chippewa Drive,","Sherwood, MI",49089,NA,https://www.mhvillage.com/parks/52245,35,17
Green Acres Mobile Home Park,"151 Wheatfield Drive,","Sherwood, MI",49089,NA,https://www.mhvillage.com/parks/52246,35,17
Singing Sands RV Park,"262 74th St,","South Haven, MI",49090,150,https://www.mhvillage.com/parks/104917,38,20
Depot Mobile Home Park,"Dunkley Avenue,","South Haven, MI",49090,100,https://www.mhvillage.com/parks/16060,38,20
Meadowbrook Village,"07120 - 68th Street,","South Haven, MI",49090,50,https://www.mhvillage.com/parks/15886,39,20
Mitchell Brothers Mobile Home Park East,"03750 67th St,","South Haven, MI",49090,49,https://www.mhvillage.com/parks/15392,38,20
The Ravines,"73100 County Road 388,","South Haven, MI",49090,106,https://www.mhvillage.com/parks/15743,38,20
Whispering Pines,"67663 County Road 388,","South Haven, MI",49090,104,https://www.mhvillage.com/parks/15385,39,20
South Haven Manufactured Housing Community,"73561 Chambers Street,","South Haven, MI",49090,47,https://www.mhvillage.com/parks/15387,38,20
Mitchell Brothers East,"3750 67th Street,","South Haven, MI",49090,50,https://www.mhvillage.com/parks/15959,39,20
Lakeshore MHP,"75641 16th Avenue,","South Haven, MI",49090,NA,https://www.mhvillage.com/parks/128936,38,20
Memory Lane Mobile Home Park,"25039 West Us 12,","Sturgis, MI",49091,227,https://www.mhvillage.com/parks/510,36,17
Sturgis Commons,"960 W Chicago St,","Sturgis, MI",49091,21,https://www.mhvillage.com/parks/111198,36,17
Sweet Lake Mobile Home Park,"31004 East Chicago Road,","Sturgis, MI",49091,48,https://www.mhvillage.com/parks/15700,36,17
Michiana Mobile Home Park,"231 1st St,","Sturgis, MI",49091,38,https://www.mhvillage.com/parks/15699,36,17
Midway Mobile Home Park,"920 West Chicago,","Sturgis, MI",49091,NA,https://www.mhvillage.com/parks/15701,36,17
Klines Resort,"22260 Klines Resort Road,","Three Rivers, MI",49093,244,https://www.mhvillage.com/parks/468,36,17
Meadow Lane Village,"614 13th Street,","Three Rivers, MI",49093,127,https://www.mhvillage.com/parks/507,36,17
River Run Estates,"800 East Hoffman Street,","Three Rivers, MI",49093,60,https://www.mhvillage.com/parks/15944,36,17
Village Mobile Home Court,"121 South Erie Street,","Three Rivers, MI",49093,82,https://www.mhvillage.com/parks/15702,36,17
Golden Pond Mobile Home Park,"61600 Youngman Road,","Three Rivers, MI",49093,39,https://www.mhvillage.com/parks/506,36,17
Hickory Lane Mobile Home Park,"14809 West M-60,","Three Rivers, MI",49093,32,https://www.mhvillage.com/parks/15695,36,17
Rocky's Hide Away,"Born Street,","Three Rivers, MI",49093,NA,https://www.mhvillage.com/parks/66109,36,17
Turtle Lake,"2101 9 Mile Road,","Union City, MI",49094,NA,https://www.mhvillage.com/parks/42054,45,18
Pleasant View Estates,"7604 Red Arrow Highway,","Watervliet, MI",49098,209,https://www.mhvillage.com/parks/15363,39,20
