Name,Address,City.State,ZIP,Number.of.Sites,Url,House.district,Senate.district
Side-O-Lake Resort Park,"15301 Lakeshore Drive,","Gowen, MI",49326,45,https://www.mhvillage.com/parks/15261,91,33
Emerald Estates,"238 Jones Street,","Grant, MI",49327,30,https://www.mhvillage.com/parks/15622,101,33
Lake Forest Park,"9502 South 2nd Street,","Grant, MI",49327,70,https://www.mhvillage.com/parks/15627,101,33
Sun Retreats Gun Lake,"2306 12th Street,","Hopkins, MI",49328,NA,https://www.mhvillage.com/parks/85849,43,18
Sandy Pines RV Resort & Campground,"2745 136th Avenue,","Hopkins, MI",49328,2162,https://www.mhvillage.com/parks/30205,43,20
Topaz Estates Mobile Home Park,"2100 135th Avenue,","Hopkins, MI",49328,42,https://www.mhvillage.com/parks/235,43,20
Village Trails,"518 Hickory Ln.,","Howard City, MI",49329,100,https://www.mhvillage.com/parks/15979,91,33
Tamarack Pines Estates,"9555 Maple Hill Road,","Howard City, MI",49329,80,https://www.mhvillage.com/parks/15920,91,33
Apple Grove Estates,"1843 Daisy Lane,","Kent City, MI",49330,50,https://www.mhvillage.com/parks/30378,90,33
Kent City Manufactured Home Community,"135 South Main Street,","Kent City, MI",49330,74,https://www.mhvillage.com/parks/15251,89,33
Green Acres Trailer Park,"14101 Sparta Avenue,","Kent City, MI",49330,55,https://www.mhvillage.com/parks/15249,90,33
Wynwood Estates - Subdivision,"Wyndsong Court,","Kent City, MI",49330,NA,https://www.mhvillage.com/parks/16043,89,33
"Key Vista, MHC","1800 West Main Street,","Lowell, MI",49331,137,https://www.mhvillage.com/parks/15263,78,18
Key Heights Village,"11335 East Fulton Street,","Lowell, MI",49331,286,https://www.mhvillage.com/parks/15253,78,18
Lowell Mobile Park,"140 North Pleasant Street,","Lowell, MI",49331,NA,https://www.mhvillage.com/parks/15257,78,18
Holiday Terrace Mobile Home Park,"10845 Percy Lane,","Mecosta, MI",49332,71,https://www.mhvillage.com/parks/15594,100,34
Round Lake Resort Mobile Home Park,"11133 Eleven Mile Road,","Mecosta, MI",49332,8,https://www.mhvillage.com/parks/15599,100,34
Cider Mill Village,"425 Cider Mill Drive,","Middleville, MI",49333,258,https://www.mhvillage.com/parks/15891,79,18
Hess Lake RV & MHP,"825 East 88th Street,","Newaygo, MI",49337,63,https://www.mhvillage.com/parks/15628,101,33
Brookhaven Estates,"622 South Division Street,","Newaygo, MI",49337,178,https://www.mhvillage.com/parks/15972,101,33
Brooks Lake Mobile Home Park,"2263 Spruell,","Newaygo, MI",49337,15,https://www.mhvillage.com/parks/16002,101,33
Four Seasons Trailer Park,"3531 Antor,","Newaygo, MI",49337,56,https://www.mhvillage.com/parks/15626,101,33
Country Mobile Home Court,"6420 East 13 Mile Road,","Paris, MI",49338,20,https://www.mhvillage.com/parks/15629,101,33
Thunderhawk Resort,"4261 N Bass Lake Rd,","Pierson, MI",49339,50,https://www.mhvillage.com/parks/83549,91,33
Parks Place Estates,"14065 30th Avenue,","Remus, MI",49340,29,https://www.mhvillage.com/parks/528,100,34
Algoma Estates,"4456 13 Mile Road,","Rockford, MI",49341,343,https://www.mhvillage.com/parks/161,90,33
Woodland Estates Mobile Home Park,"6737 Northland Drive,","Rockford, MI",49341,170,https://www.mhvillage.com/parks/285,90,30
The Oaks of Rockford,"11640 Townsquare Blvd,","Rockford, MI",49341,421,https://www.mhvillage.com/parks/104025,90,33
Spring Valley Mobile Home Park,"6460 Northland Drive,","Rockford, MI",49341,52,https://www.mhvillage.com/parks/15262,90,30
La-E-Ma Land Mobile Home Park,"7825 Cannonsburg Road,","Rockford, MI",49341,29,https://www.mhvillage.com/parks/15254,90,33
Hunter's Creek,"11334 120th Avenue,","Rodney, MI",49342,50,https://www.mhvillage.com/parks/476,100,34
Paradise Cove,"363 W Lake St.,","Sand Lake, MI",49343,NA,https://www.mhvillage.com/parks/103543,91,33
Gun Lake Manufactured Home Community,"19985 Marsh Road,","Shelbyville, MI",49344,59,https://www.mhvillage.com/parks/104895,43,18
Indian Acres Mobile Home Park,"770 129th Avenue,","Shelbyville, MI",49344,36,https://www.mhvillage.com/parks/15119,43,18
Selkirk Lake Mobile Home Park,"780 127th Avenue,","Shelbyville, MI",49344,25,https://www.mhvillage.com/parks/15129,43,18
Circle Inn Mobile Park,"11985 Marsh Road,","Shelbyville, MI",49344,20,https://www.mhvillage.com/parks/452,43,18
Riverview Manufactured Housing Community,"95 Viking Drive,","Sparta, MI",49345,154,https://www.mhvillage.com/parks/15096,90,33
Glenwood Estates,"1211 Glen Park Drive,","Sparta, MI",49345,234,https://www.mhvillage.com/parks/163,90,33
Whispering Pines,"9397 Alpine Avenue,","Sparta, MI",49345,50,https://www.mhvillage.com/parks/15039,90,33
Parkwood Green Village,"1 Jack Pine,","Sparta, MI",49345,99,https://www.mhvillage.com/parks/226,90,33
Sunset Shores,"10406 Pierce Rd.,","Stanwood, MI",49346,80,https://www.mhvillage.com/parks/76392,100,34
Buck's Mobile Home Park,"21965 8 Mile Road,","Stanwood, MI",49346,NA,https://www.mhvillage.com/parks/15595,100,34
Roger Heights Mobile Home Park,"11299 Riverside Drive,","Stanwood, MI",49346,NA,https://www.mhvillage.com/parks/52249,100,34
Hunters Glen,"1132 Hunters Glen Boulevard,","Wayland, MI",49348,280,https://www.mhvillage.com/parks/29480,79,18
Windsor Woods Village,"1135 West Superior Street,","Wayland, MI",49348,314,https://www.mhvillage.com/parks/15869,43,18
Rabbit River,"3471 Homer Drive,","Wayland, MI",49348,102,https://www.mhvillage.com/parks/15125,43,18
Yankee Springs Meadows,"1330 North Patterson Road,","Wayland, MI",49348,284,https://www.mhvillage.com/parks/456,43,18
Shady Shores Association,"2965 Patterson Road,","Wayland, MI",49348,115,https://www.mhvillage.com/parks/15567,43,18
Leisure Time,"4799 South Spruce Avenue,","White Cloud, MI",49349,94,https://www.mhvillage.com/parks/51641,101,33
Maple Lane Mobile Home Park,"65 South North Street,","White Cloud, MI",49349,30,https://www.mhvillage.com/parks/485,101,33
Sportsman Park,"2500 Sportsman Drive,","White Cloud, MI",49349,75,https://www.mhvillage.com/parks/30405,101,33
Zmrzlik Mobile Home Park,"277 Echo Drive,","White Cloud, MI",49349,NA,https://www.mhvillage.com/parks/52252,101,33
Knollwood,"4595 Knollwood Drive,","Allendale, MI",49401,161,https://www.mhvillage.com/parks/298,89,30
Allendale Meadows,"11400 Boyne Boulevard,","Allendale, MI",49401,352,https://www.mhvillage.com/parks/195,89,30
Boulder Ridge,"4370 Pingree,","Allendale, MI",49401,96,https://www.mhvillage.com/parks/30512,89,30
Timberline Estates,"260 Pin Oak Drive,","Coopersville, MI",49404,296,https://www.mhvillage.com/parks/211,89,30
Grand Country Mobile Village,"13401 84th Street,","Coopersville, MI",49404,52,https://www.mhvillage.com/parks/15295,89,30
Dogwood Manor,"5289 124th Avenue,","Fennville, MI",49408,76,https://www.mhvillage.com/parks/15114,43,20
Douglas Estates,"2734 Blue Star Highway,","Fennville, MI",49408,175,https://www.mhvillage.com/parks/242,38,20
Johnson's Mobile Village,"2734 Blue Star Highway,","Fennville, MI",49408,78,https://www.mhvillage.com/parks/15120,38,20
Lake Park Trailer Resort,"2126 Lakeshore Drive,","Fennville, MI",49408,60,https://www.mhvillage.com/parks/15121,38,20
Orchard Hills Village,"2400 56th Street,","Fennville, MI",49408,167,https://www.mhvillage.com/parks/15903,43,20
Riverside Estates Mobile Home Community,"6200 Arrowhead Drive,","Fennville, MI",49408,41,https://www.mhvillage.com/parks/58541,38,20
Country View Estates,"401 Market Street,","Fremont, MI",49412,134,https://www.mhvillage.com/parks/15961,101,33
Fremont Hills Mobile Home Park,"927 Lake Drive,","Fremont, MI",49412,58,https://www.mhvillage.com/parks/15625,101,33
Meadowview Village,"1307 Locust Street,","Fremont, MI",49412,86,https://www.mhvillage.com/parks/15624,101,33
Rob-Ann Mobile Home Court,"1215 Locust Street,","Fremont, MI",49412,84,https://www.mhvillage.com/parks/15623,101,33
Hidden Oaks MHC,"14787 Apple Drive,","Fruitport, MI",49415,104,https://www.mhvillage.com/parks/194,88,31
River Haven Village,"14546 Mercury Drive,","Grand Haven, MI",49417,721,https://www.mhvillage.com/parks/15300,88,31
The Village Green Mobile Home Park,"1700 Robbins Road,","Grand Haven, MI",49417,392,https://www.mhvillage.com/parks/230,88,31
Pine Ridge Community,"4629 134th Avenue,","Hamilton, MI",49419,49,https://www.mhvillage.com/parks/15957,43,20
Shady Acres Community LLC,"4390 132nd Avenue,","Hamilton, MI",49419,60,https://www.mhvillage.com/parks/15130,43,20
Amber Estates,"47th St,","Hamilton, MI",49419,49,https://www.mhvillage.com/parks/128354,43,20
Hylander Valley,"231 North Eastwood Road,","Hart, MI",49420,71,https://www.mhvillage.com/parks/15619,102,32
Pines Mobile Home Park,"3241 72nd Street,","Hart, MI",49420,48,https://www.mhvillage.com/parks/15621,102,32
Hesperia MHP,"946 North Smith St,","Hesperia, MI",49421,99,https://www.mhvillage.com/parks/106678,101,33
Evergreen Village Mobile Home Park,"946 N. Smith St.,","Hesperia, MI",49421,99,https://www.mhvillage.com/parks/15630,101,33
Hidden Creek Community,"4790 Hidden Creek Drive,","Holland, MI",49423,202,https://www.mhvillage.com/parks/37908,43,31
Ottogan Mobile Home Estates,"173 Lizbeth Drive,","Holland, MI",49423,272,https://www.mhvillage.com/parks/27721,85,31
Candlelight Manor,"155 East 48th Street,","Holland, MI",49423,73,https://www.mhvillage.com/parks/16036,86,31
Willow Mobile Home Park,"1055 Lincoln Avenue,","Holland, MI",49423,99,https://www.mhvillage.com/parks/249,86,31
Lincoln Estates,"1139 Lincoln Avenue,","Holland, MI",49423,191,https://www.mhvillage.com/parks/231,86,31
Country Acres Mobile Home Park,"A-5904 142nd Avenue,","Holland, MI",49423,100,https://www.mhvillage.com/parks/240,43,31
Windmill Estates,"333 East Lakewood Boulevard,","Holland, MI",49424,400,https://www.mhvillage.com/parks/190,86,31
Waverly Shores Village,"11777 Riley Street,","Holland, MI",49424,326,https://www.mhvillage.com/parks/15926,86,31
Lakeview Mobile Park,"401 Howard Avenue,","Holland, MI",49424,40,https://www.mhvillage.com/parks/15297,86,31
Holiday West Village,"3611 Butternut Drive,","Holland, MI",49424,341,https://www.mhvillage.com/parks/15728,86,31
Leisure Estates,"523 Butternut Drive,","Holland, MI",49424,NA,https://www.mhvillage.com/parks/40935,86,31
Leisure Village,"679 Butternut Dr,","Holland, MI",49424,NA,https://www.mhvillage.com/parks/129446,86,31
"Pine Island Recreation Park, Inc.","3768 Pine Island Drive, Lot 9,","Holton, MI",49425,30,https://www.mhvillage.com/parks/15440,102,32
Derby Brothers Company,"3774 Pine Island Drive,","Holton, MI",49425,30,https://www.mhvillage.com/parks/70655,102,32
West Pine Island Manufactured Home Community,"3534 Pinewood Trail,","Holton, MI",49425,30,https://www.mhvillage.com/parks/3977,102,32
Presidential Estates,"5075 Presidential Lane,","Hudsonville, MI",49426,364,https://www.mhvillage.com/parks/15035,85,31
Rush Creek Estates,"5011 Van Dam Avenue,","Hudsonville, MI",49426,100,https://www.mhvillage.com/parks/6789,89,31
Country Hills Village,"2200 Riley Street,","Hudsonville, MI",49426,236,https://www.mhvillage.com/parks/15971,43,31
Brookshire Meadows West,"1501 Port Sheldon Road,","Jenison, MI",49428,98,https://www.mhvillage.com/parks/15921,85,31
Tamarac Village,"2875 North Lakeshore Drive,","Ludington, MI",49431,293,https://www.mhvillage.com/parks/470,102,32
Ludington Mobile Home Park,"5040 Rasmussen Road,","Ludington, MI",49431,68,https://www.mhvillage.com/parks/15589,102,32
Hidden Forest,"3626 West Hidden Forest Drive,","Ludington, MI",49431,116,https://www.mhvillage.com/parks/30045,102,32
Heritage Hills Mobile Home Estates,"3677 South Pere Marquette,","Ludington, MI",49431,30,https://www.mhvillage.com/parks/15593,102,32
Laman's Landing Resort,"6100 North Beaune Road,","Ludington, MI",49431,32,https://www.mhvillage.com/parks/15592,102,32
Country Village Mobile Home Park,"14625 32nd Avenue,","Marne, MI",49435,31,https://www.mhvillage.com/parks/15294,89,30
Holiday Shores,"7980 Village Rd,","Mears, MI",49436,54,https://www.mhvillage.com/parks/105361,102,32
Sun Retreats Silver Lake,"1441 N. 34th Street,","Mears, MI",49436,NA,https://www.mhvillage.com/parks/111228,102,32
Bel Air Estates Mobile Home Community,"2481 West Sherman Boulevard,","Muskegon, MI",49441,116,https://www.mhvillage.com/parks/15315,88,32
Egelcraft,"2129 Arrowhead Drive,","Muskegon, MI",49442,458,https://www.mhvillage.com/parks/15871,89,32
Apple Carr Village,"516 South Courtland Lane,","Muskegon, MI",49442,529,https://www.mhvillage.com/parks/305,89,32
Arlington Woods,"3785 Evanston Avenue,","Muskegon, MI",49442,659,https://www.mhvillage.com/parks/307,87,32
Maple Island Estates,"7311 White Road,","Muskegon, MI",49442,129,https://www.mhvillage.com/parks/15443,89,32
West Pine Island,"1091 East Laketon,","Muskegon, MI",49442,30,https://www.mhvillage.com/parks/46519,87,32
Clover Estates Mobile Home Community,"3239 Clover Parkway,","Muskegon, MI",49444,223,https://www.mhvillage.com/parks/407,89,32
Norton Shores,"3223 Bailey Street,","Muskegon, MI",49444,656,https://www.mhvillage.com/parks/405,87,32
Nomad MHC,"2701 Huizenga Street,","Muskegon, MI",49444,111,https://www.mhvillage.com/parks/15441,87,32
Oaks Mobile Home Park,"3240 Getty Street,","Muskegon, MI",49444,172,https://www.mhvillage.com/parks/335,87,32
Mona Lake Mobile Home Park,"3527 Hoyt Street,","Muskegon, MI",49444,67,https://www.mhvillage.com/parks/15442,87,32
Crestview Estates MHC,"3290 Getty Street,","Muskegon, MI",49444,NA,https://www.mhvillage.com/parks/15444,87,32
Michigan AA,"2701 Huizenga St,","Norton Shores, MI",49444,NA,https://www.mhvillage.com/parks/106662,87,32
Park Meadows,"210 East Giles,","North Muskegon, MI",49445,300,https://www.mhvillage.com/parks/15739,87,32
Shady Oaks Mobile Home Park,"1977 Whitehall Road,","Muskegon, MI",49445,NA,https://www.mhvillage.com/parks/15446,87,32
Crockery Mobile Home Park,"13251 State Road,","Nunica, MI",49448,168,https://www.mhvillage.com/parks/27720,88,31
Lakewood Mobile Home Park,"408 East Sands Street,","Pentwater, MI",49449,40,https://www.mhvillage.com/parks/15618,102,32
Cricklewood Court,"23604 36th Avenue,","Ravenna, MI",49451,62,https://www.mhvillage.com/parks/15293,89,33
Green Lawn Mobile Home Court,"2725 Forest Street,","Rothbury, MI",49452,40,https://www.mhvillage.com/parks/15620,102,32
Saugatuck RV Resort,"6473 Blue Star Highway,","Saugatuck, MI",49453,107,https://www.mhvillage.com/parks/34391,38,20
Shangrai La Mobile Home Community,"6180 Blue Star Highway,","Saugatuck, MI",49453,66,https://www.mhvillage.com/parks/15132,38,20
Holiday Village Of Scottville,"1701 West Us Highway 10-31,","Scottville, MI",49454,150,https://www.mhvillage.com/parks/15590,102,32
Country Estates,"14700 State Road,","Spring Lake, MI",49456,255,https://www.mhvillage.com/parks/296,88,31
North Shore Manufactured Home Community and RV,"17990 North Shore Road,","Spring Lake, MI",49456,123,https://www.mhvillage.com/parks/15299,88,31
Forest Lake Estates,"17147 148th Avenue,","Spring Lake, MI",49456,221,https://www.mhvillage.com/parks/580,88,31
Pontaluna Shores,"1281 Pontaluna Shores,","Spring Lake, MI",49456,137,https://www.mhvillage.com/parks/333,88,32
Timberline Estates Mobile Home Park,"2315 Oak Street,","Twin Lake, MI",49457,302,https://www.mhvillage.com/parks/15548,102,32
West Olive Estates,"8930 146th Avenue,","West Olive, MI",49460,741,https://www.mhvillage.com/parks/15907,88,31
Crystal Downs MHC,"2701 Crystal Lake Road,","Whitehall, MI",49461,104,https://www.mhvillage.com/parks/15312,102,32
Edgewood Mobile Park,"7433 Whitehall Road,","Whitehall, MI",49461,65,https://www.mhvillage.com/parks/15445,102,32
Logan Estates,"8697 Riley Street,","Zeeland, MI",49464,378,https://www.mhvillage.com/parks/601,85,31
Maple Valley Estates,"1901 88th Ave,","Zeeland, MI",49464,161,https://www.mhvillage.com/parks/103801,85,31
Maple View,"1984 92nd Avenue,","Zeeland, MI",49464,253,https://www.mhvillage.com/parks/15732,85,31
Universal Estates,"1515 Michigan Street NE,","Grand Rapids, MI",49503,NA,https://www.mhvillage.com/parks/54598,81,30
Brookshire Meadows East,"7635 Quail Run,","Grand Rapids, MI",49508,311,https://www.mhvillage.com/parks/15265,79,20
Country Corners Mobile Estates,"6006 Eastern Avenue,","Grand Rapids, MI",49508,49,https://www.mhvillage.com/parks/15246,82,29
Eastern Mobile Villa,"3665 Eastern Avenue,","Wyoming, MI",49508,45,https://www.mhvillage.com/parks/15248,83,29
Creekside,"5100 Clyde Park Avenue SW,","Wyoming, MI",49509,165,https://www.mhvillage.com/parks/15099,83,29
Country Estates Mobile Home Park,"4461 Clyde Park Avenue SW,","Grand Rapids, MI",49509,160,https://www.mhvillage.com/parks/15247,83,29
Brookside Village,"3130 Slater Ave SE,","Kentwood, MI",49512,196,https://www.mhvillage.com/parks/15877,80,29
Ferrand Estates,"4528 Halifax SW,","Wyoming, MI",49519,420,https://www.mhvillage.com/parks/172,83,29
Hilltop Mobile Home Community,"3751 Hilltop Ct NE,","Grand Rapids, MI",49525,117,https://www.mhvillage.com/parks/15250,81,30
Lamberton Mobile Home Park,"1561 Sherin Dr NE,","Grand Rapids, MI",49525,40,https://www.mhvillage.com/parks/15255,81,30
Leonard Gardens,"4524 Leonard NW,","Grand Rapids, MI",49534,319,https://www.mhvillage.com/parks/577,84,30
Appletree Estates,"1061 Wilson Avenue NW,","Walker, MI",49534,238,https://www.mhvillage.com/parks/15038,84,30
Tallmadge Meadows,"11630 14th Avenue NW,","Grand Rapids, MI",49534,107,https://www.mhvillage.com/parks/15103,89,30
Alpine Meadows,"3800 Fruitridge Avenue NW,","Grand Rapids, MI",49544,403,https://www.mhvillage.com/parks/15037,90,30
Oakwood Heights Mobile Park,"1625 Vinecroft Stret NW,","Grand Rapids, MI",49544,NA,https://www.mhvillage.com/parks/15258,84,30
Pinebrook Village,"444 Bellewood Street SE,","Grand Rapids, MI",49548,185,https://www.mhvillage.com/parks/15260,80,29
Camelot Manor,"170 Camelot Blvd,","Grand Rapids, MI",49548,335,https://www.mhvillage.com/parks/15040,83,20
Cutler Estates,"6471 South Division,","Grand Rapids, MI",49548,259,https://www.mhvillage.com/parks/15049,80,29
Grand Village,"6500 South Division Avenue,","Grand Rapids, MI",49548,230,https://www.mhvillage.com/parks/169,79,20
Brentwood Village,"201 60th Street SE,","Kentwood, MI",49548,195,https://www.mhvillage.com/parks/15041,80,29
Southwood Village,"440 60th Street SE,","Grand Rapids, MI",49548,394,https://www.mhvillage.com/parks/171,79,20
Holiday Estates,"440 68th St. SW.,","Grand Rapids, MI",49548,204,https://www.mhvillage.com/parks/166,83,20
Kentwood MHC,"6122 South Division Avenue,","Grand Rapids, MI",49548,188,https://www.mhvillage.com/parks/15252,83,29
Prescott Community,"7283  Division Avenue South,","Grand Rapids, MI",49548,190,https://www.mhvillage.com/parks/15085,83,29
Maplewood Manufactured Housing Community,"50 Inca Dr SW,","Grand Rapids, MI",49548,114,https://www.mhvillage.com/parks/283,83,20
Pinegate Mobile Village,"7805 South Division Avenue,","Grand Rapids, MI",49548,151,https://www.mhvillage.com/parks/15084,83,29
Green Meadow MHC,"6148 South Division Avenue,","Grand Rapids, MI",49548,156,https://www.mhvillage.com/parks/165,83,29
Paris Estates,"310 48th Street SE,","Grand Rapids, MI",49548,155,https://www.mhvillage.com/parks/15097,80,29
Windmill Pointe MHC,"588 48th Street SE,","Grand Rapids, MI",49548,333,https://www.mhvillage.com/parks/15104,80,29
Country Acres,"300 Kristy Jo,","Cadillac, MI",49601,200,https://www.mhvillage.com/parks/15725,101,36
Pheasant Ridge Estates,"399 Thistlewood Drive,","Cadillac, MI",49601,196,https://www.mhvillage.com/parks/15879,101,36
Cadillac Leisure Mobile Home Park,"1101-1151 6th Stt,","Cadillac, MI",49601,98,https://www.mhvillage.com/parks/15722,101,36
Kampvilla RV Park,"16632 Pleasanton Highway,","Bear Lake, MI",49614,40,https://www.mhvillage.com/parks/15827,104,32
Chain O' Lakes Campground & Mobile Home Park,"7231 S M 88 Highway,","Bellaire, MI",49615,15,https://www.mhvillage.com/parks/15762,104,37
Crystal Lake Mobile Home Park,"6695 Spruce Drive,","Benzonia, MI",49616,47,https://www.mhvillage.com/parks/545,104,32
Hillside Mobile Home Park,"857 Glenn Avenue,","Elberta, MI",49628,NA,https://www.mhvillage.com/parks/543,104,32
Vacation Village Mobile Home Park,"601 Shadywood,","Elk Rapids, MI",49629,65,https://www.mhvillage.com/parks/15761,104,37
Dorsey's on Glen Lake,"8648 South Dorsey Park Road,","Empire, MI",49630,54,https://www.mhvillage.com/parks/15822,103,37
Evart Mobile Court,"201 Fair Street,","Evart, MI",49631,21,https://www.mhvillage.com/parks/15602,100,34
Harbor Village Community,"1208 Elm Street,","Frankfort, MI",49635,17,https://www.mhvillage.com/parks/15766,104,32
Buena Vista Estates,"17426 Honor Highway,","Interlochen, MI",49643,68,https://www.mhvillage.com/parks/15765,104,32
Mobile Home Estates,"2012 East Estate Road,","Kalkaska, MI",49646,50,https://www.mhvillage.com/parks/15821,104,36
Cherrywood Village Farms,"2451 M-113 East,","Kingsley, MI",49649,193,https://www.mhvillage.com/parks/15884,104,37
Pine Court,"5340 West Stoney Corners Road,","McBain, MI",49657,15,https://www.mhvillage.com/parks/29402,105,36
Mancelona Chamber Park,"Franklin Street,","Mancelona, MI",49659,15,https://www.mhvillage.com/parks/15939,105,37
River Haven Estates,"24 Caberfae Highway,","Manistee, MI",49660,65,https://www.mhvillage.com/parks/15826,102,32
East Lake Estates,"829 Oregon Avenue,","Manistee, MI",49660,197,https://www.mhvillage.com/parks/16019,102,32
The Bluffs on Manistee Lake,"956 Tennessee Avenue,","Manistee, MI",49660,100,https://www.mhvillage.com/parks/105890,102,32
Forest Pines Manistee,"1525 West County Line Road,","Manistee, MI",49660,75,https://www.mhvillage.com/parks/15591,102,32
Pat's Place,"2951 North 7 Road,","Mesick, MI",49668,20,https://www.mhvillage.com/parks/15740,101,36
White Pines Mobile Home Park,"Paul Drive,","Mesick, MI",49668,33,https://www.mhvillage.com/parks/15752,101,36
Valley Mobile Home Park,"1268 Wood Road,","Rapid City, MI",49676,10,https://www.mhvillage.com/parks/15942,104,36
White Birch Estates,"411 Dailey Drive,","Reed City, MI",49677,50,https://www.mhvillage.com/parks/482,100,34
Young's Trailer Park,"521 East Church Avenue,","Reed City, MI",49677,17,https://www.mhvillage.com/parks/479,100,34
Meadow Lane,"4310 Meadowlane Drive,","Traverse City, MI",49684,483,https://www.mhvillage.com/parks/512,103,37
Suburban Estates Mobile Home Park,"7230 Suburban Drive,","Traverse City, MI",49684,75,https://www.mhvillage.com/parks/15706,103,37
First Point Mobile Home Court,"7903 Birchpoint Drive,","Traverse City, MI",49684,53,https://www.mhvillage.com/parks/33826,103,37
R & R Chervenka,"9640 Crain Hill Road,","Traverse City, MI",49684,NA,https://www.mhvillage.com/parks/15823,103,37
Silver Lake View Mobile Homes,"5097 N Sivler Lake View Ct,","Traverse City, MI",49685,49,https://www.mhvillage.com/parks/15748,103,37
Silver Shores Manufactured Home Community,"1257 Overlook Drive,","Traverse City, MI",49685,200,https://www.mhvillage.com/parks/15749,104,37
Town and Country,"849 Manor Lane,","Traverse City, MI",49686,192,https://www.mhvillage.com/parks/15709,103,37
Woodcreek,"501 Woodcreek Boulevard,","Traverse City, MI",49686,219,https://www.mhvillage.com/parks/15992,103,37
Cherryland Mobile Home Park,"3011 North Garfield,","Traverse City, MI",49686,52,https://www.mhvillage.com/parks/15723,103,37
Valleywood Cove,"996 Garfield Woods Drive Suite D,","Traverse City, MI",49686,NA,https://www.mhvillage.com/parks/92821,103,37
King's Court,"1585 Ray Blvd.,","Traverse City, MI",49686,639,https://www.mhvillage.com/parks/521,103,37
Timber Ridge,"4050 E Hammond Rd,","Traverse City, MI",49686,31,https://www.mhvillage.com/parks/127472,103,37
Conway Commons,"2959 Oden Rd,","Alanson, MI",49706,200,https://www.mhvillage.com/parks/15796,107,37
Alanson Estates Noble Homes,"6760 Us 31 North,","Alanson, MI",49706,30,https://www.mhvillage.com/parks/15797,107,37
El Rancho Alanson RV Resort,"6712 San Juan,","Alanson, MI",49706,137,https://www.mhvillage.com/parks/126084,107,37
Huron Lake Estates,"1121 Bare Point Road,","Alpena, MI",49707,36,https://www.mhvillage.com/parks/15989,106,36
Lake Shore Estates,"8924 West Long Lake Road,","Alpena, MI",49707,58,https://www.mhvillage.com/parks/538,106,36
Alpena Mobile Home Court,"624 Ripley Boulevard,","Alpena, MI",49707,NA,https://www.mhvillage.com/parks/15759,106,36
Long Lake Trailer Court,"10080 Us 23 North,","Alpena, MI",49707,NA,https://www.mhvillage.com/parks/15758,106,36
Fox Run,"141 Fox Run Street,","Boyne City, MI",49712,140,https://www.mhvillage.com/parks/128022,107,37
Lakeview Village Mobile Home Park,"526 North Lake Street,","Boyne City, MI",49712,152,https://www.mhvillage.com/parks/15769,107,37
Mountain View Estates,"2225 Center Street,","Boyne Falls, MI",49713,42,https://www.mhvillage.com/parks/15767,107,37
Charlevoix Estates,"6685 M 66 North,","Charlevoix, MI",49720,189,https://www.mhvillage.com/parks/15897,107,37
Lake Michigan Heights,"7400 Lakeview Drive,","Charlevoix, MI",49720,108,https://www.mhvillage.com/parks/547,107,37
Northern Cove Estates RV,"12600 Us 31 N,","Charlevoix, MI",49720,35,https://www.mhvillage.com/parks/15768,107,37
Huron Estates,"1 Ashley Ave.,","Cheboygan, MI",49721,111,https://www.mhvillage.com/parks/15947,106,37
Town & Country Mobile Home Park,"2653 Vanyea Road,","Cheboygan, MI",49721,NA,https://www.mhvillage.com/parks/15775,106,37
Larry's Trailer Court,"10692 North Black River Road,","Cheboygan, MI",49721,NA,https://www.mhvillage.com/parks/15773,106,37
East Jordan Mobile Home Park,"707 State Street,","East Jordan, MI",49727,70,https://www.mhvillage.com/parks/548,107,37
Aspen Village,"204 Aspen Commons Drive,","Gaylord, MI",49735,204,https://www.mhvillage.com/parks/595,105,36
Nottingham Forest,"1665 West M-32,","Gaylord, MI",49735,74,https://www.mhvillage.com/parks/15851,105,36
Log Haven Mobile Home Park,"273 Randolph Street,","Gaylord, MI",49735,NA,https://www.mhvillage.com/parks/15852,105,36
Hartwick Pines Mobile Home Estates,"4869 Brighton Circle,","Grayling, MI",49738,52,https://www.mhvillage.com/parks/15925,105,36
Grayling Mobile Home Estates,"North Down River Road,","Grayling, MI",49738,163,https://www.mhvillage.com/parks/15906,105,36
Timberly Village,"243 Woodlawn Boulevard,","Grayling, MI",49738,NA,https://www.mhvillage.com/parks/15783,105,36
Harbor Springs Estates,"629 East Lake Street,","Harbor Springs, MI",49740,68,https://www.mhvillage.com/parks/558,107,37
Hunt Creek Mobile Home Court,"600 North Elizabeth,","Hillman, MI",49746,NA,https://www.mhvillage.com/parks/15899,106,36
Hubbard Lake Trailer Park,"7298 Hurbert Road,","Hubbard Lake, MI",49747,NA,https://www.mhvillage.com/parks/541,106,36
Indian River Mobile Home Park,"5144 South Straits Highway,","Indian River, MI",49749,NA,https://www.mhvillage.com/parks/15771,106,37
Indian Village Park,"4726 Lanai Drive,","Indian River, MI",49749,NA,https://www.mhvillage.com/parks/15988,106,37
Shady Grove Village,"4128 Michigan,","Onaway, MI",49765,NA,https://www.mhvillage.com/parks/15855,106,36
Ossineke Mobile Home Park,"Block 1, Old Ossineke Road,","Ossineke, MI",49766,12,https://www.mhvillage.com/parks/15757,106,36
Riverview Mobile Home Park,"13021 Us 23 South,","Ossineke, MI",49766,NA,https://www.mhvillage.com/parks/15949,106,36
